篇名,作者,关键词,摘要,没有引进词表的jieba提取的中药材,引进词表的jieba提取的中药材
枸杞泡酒能壮阳吗,金锐,,"据说,枸杞泡酒可以壮阳,这是真的吗?首先,药酒是一个很敏感的话题,药酒吃出事的也不少.希望大家能有一个意识,药酒不能随便乱吃.那么,枸杞泡药酒是什么情况呢?_xD_
从安全性上看,枸杞泡药酒,比附子、雪上一枝蒿、土三七泡药酒,要安全得多.因为枸杞不是毒性中药,而是药食同源(既可以当药又可以当食物)的中药,在国家卫健委的药食两用中药名单里有它.所以,枸杞泡药酒的安全性还是有保障的.","枸杞, 附子, 雪上一枝蒿, 土三七","枸杞, 附子, 雪上一枝蒿, 土三七"
论灵芝山药钙营养粉研究与技术开发,"郝振荣,蔡愚吾","灵芝,怀山药,梯度吸收,膳食革命,中西合壁","研制灵芝山药钙营养粉目的在于促进人类的健康长寿,万物中人的生命属最珍贵,珍贵的人的生命能长命百岁,其意义重大,任何事物莫大于此,在古代把灵芝叫仙草,灵芝属食药用菌种,药食同源类.研发团队经过长时期实践观测试验,发现神奇怀山药能够恰当的解决灵芝与钙的吸收和壮骨两大难题,怀山药补脾胃肝肾虚亏,灵芝抗免疫抗体,防癌抗癌症患者,能充分激活人体细胞分裂基因的健康长寿的分子水平,促人健康养生延年益寿.乳化碳酸钙,葡萄糖酸钙,抗坏血酸钙,三钙合一,梯度吸收,与山药相得益彰.灵芝加怀山药加钙,中西合壁,吃饭吃菜随时添加,大大增强了人体对矿物质及微量元素的吸收能力,直接被吸收利用无需转化.本品适合任何群体.灵芝山药钙营养粉配料:灵芝粉,怀山药粉,三钙粉.配方:灵芝粉％,怀山药粉.％,三钙粉含量执行GB\T--标准.制作方法取成品灵芝山药三钙粉适量搅拌均匀即可食用.","灵芝, 山药","灵芝, 山药"
马齿苋南果梨牛奶饮料加工工艺的研究,"卢瑞雪,郑岩,苏庆宇","马齿苋,南果梨,牛奶","以药食同源的马齿苋、南果梨、牛奶为主要原料,研制马齿苋南果梨牛奶饮料的加工工艺及配方.通过单因素实验与正交试验,确定马齿苋南果梨牛奶饮料的最佳方案.饮料最佳配方:马齿苋浸提液、南国梨汁、牛奶的比例为::,.%果胶酶,白砂糖的添加量为%,蜂蜜的添加量为%,南果梨复合护色剂为.%维生素C和.%柠檬酸,.%蔗糖脂肪酸酯和.%羧甲基纤维素钠(CMC).最后对饮料进行了巴氏杀菌、微生物检验、理化指标检验.所得饮料酸甜适口,状态为乳白色,均匀稳定,口感纯正,具有南果梨与马齿苋和牛奶混合的营养特性和特殊混合风味.","马齿苋, 白砂糖, 蜂蜜, 蔗糖","马齿苋, 白砂糖, 蜂蜜, 蔗糖"
黄花蒿中双键还原酶基因AaDBR全长克隆与功能研究,"刘丽萍,唐雨薇,王若娴,李志冰,刘仲华,刘硕谦","黄花蒿,香气类物质,双键还原酶,基因克隆,功能分析","黄花蒿中含有大量的香气类物质,在食品和医药行业有广泛的应用前景,但对其生物合成的分子机理研究非常欠缺.本研究采用SMART-RACE-PCR技术从黄花蒿花组织差异文库中获得了个新的双键还原酶编码基因AaDBR,其cDNA序列全长为bp,开放阅读框(ORF)长度为bp编码氨基酸,蛋白分子量为.kD,等电点(pI)为..通过生物信息学的分析,AaDBR属于中链脱氢酶超级家族中leukotrieneBdehydrogenases类酶.系统发育进化树结果表明,该基因与烟草的烯丙醇脱氢酶(NtADH,GenBank:BAA.)的同源性最高,相似性为％.体外酶研究发现,重组蛋白酶能催化-壬烯--酮向-壬酮的转化,表明其属于双键还原酶.本研究为进一步丰富黄花蒿优异基因资源,及黄花蒿的品种改良提供了重要的靶基因.",烟草,烟草
抚香叶芹号繁殖栽培技术,"李俊,姜学仕,魏征,赵小龙,李国强",,"抚香叶芹号是抚顺市农业科学研究院野生植物研究所选育出的优良藁本新品种.该品种为药食同源植物,其植株高大,茎秆粗壮,根茎潜伏芽量多,萌生能力强,生产周期短,采菜期长,高产稳产,有较高的食用、保健和药用价值,其茎叶可做蔬菜进行庭院栽培,也可做山野菜进行反季生产,根可做药材进行生产销售,能给人们带来可观的经济效益.现将其繁殖栽培技术介绍如下.","香叶, 藁本","香叶, 藁本"
尴尬的药膳,杨艳,,"花旗参煲瘦肉、黄芪炖鸡、灵芝炖排骨、石斛老鸭汤……这些生活中时常品尝的美味,还有一个名称是药膳.通常,这些药食同源的食材或传统上一直沿用的药材与肉类或海鲜或蔬菜有着相对同定的搭配,人们食用它,往往期待其能带来强身健体的好处.","黄芪, 灵芝, 石斛","黄芪, 灵芝, 石斛"
安心补虚话百合,杨璞,,"中国自古以来就有把成语与现实物品相结合来传情达意的传统.比如新婚大吉的日子,一定要给两位新人喝一碗百合做的粥,寓意百年好合.百合是一种历史悠久的药食同源的食物,现存最早的中药学著作《神农本草经》中已经有百合的记载.",百合,百合
中早熟耐热苦瓜新品种秦朝,"汤永强,陈春松",,"苦瓜起源于热带,因其药食同源的特性,逐渐被大众接受,中国南北方均普遍种植,山东、四川、广东、福建等地都是苦瓜的主要产地.苦瓜可以进行早春、越夏、秋延后种植,不断扩大的市场,使得苦瓜需求变大,要求产量更高、适应性更强的苦瓜品种,才能使农民增收.秦朝便是在这一育种目标下选育出的新品种,目前在不同区域都表现良好.",苦瓜,苦瓜
《伤寒杂病论》中醋的功效探讨,"朱飞叶,谢冠群","醋,苦酒,伤寒论,金匮要略,功效","醋是一味历史悠久的中药,现在主要用于中药炮制和作为外用中药的溶媒,《伤寒杂病论》中有多处记载醋的临床应用,整理后发现,在芪芍桂酒汤、苦酒汤、猪胆汁方中,醋的主要功效是活血行气,消肿散结,发挥这些功效可能与醋中含有川芎嗪有关.乌梅丸中乌梅用醋炮制,是为了加强除烦下气、消痈杀毒.醋浆水与醋味道相似,也具有开胃消食的功效,但两者制作方法不同.醋作为一种发酵制品,营养丰富,口味独特,药食同源,还具有特殊的功效,值得进一步深入研究.","醋, 胆汁, 乌梅, 浆水","醋, 胆汁, 乌梅, 浆水"
《黄帝内经》对“酒”的认识,邓沂,,"由于“医食同源”、“药食同源”的缘故,因此酒就与医药有着非常密切的关系,如医药的“臀”字就是从酉、从酒的(酉,来源于彖形文字“臀”,象酒樽,故酉指酒).《黄帝内经》位居中医四大经典著作之首,它不仅奠定了中医药学的理论基础,而且还是一部百科全书,其中不乏对酒的认识.",酒,酒
桔梗人工栽培技术,王春艳,"选地,繁殖,移栽,田间管理","桔梗是药食同源植物.重点介绍了桔梗人工栽培技术中的选地与整地、播种、育苗移栽、田间管理、采收等方面的技术环节,旨在为广大林农提供一套桔梗人工栽培技术,以来促进桔梗人工栽培这项特色产业稳定、健康的发展.",桔梗,桔梗
枸杞炖羊脑补血治头晕,黄燕晓,,"枸杞药食同源的历史悠久,是驰名中外的名贵中药材,早在《神农本草经》中就被列为上品,称其""久服轻身不老、耐寒暑"",有延衰抗老的功效.枸杞中含有多种氨基酸,并含有甜菜碱、玉蜀黍黄素、酸浆果红素等特殊营养成分,使其具有非常好的保健功效.中医认为,枸杞性平、味甘,归肝、肾经,有滋补肝肾、益精明目的功效,常用于平补肝肾.","枸杞, 玉蜀黍","枸杞, 玉蜀黍"
滋补消费应慎行,苏光陆,,"自改革开放以后,人们以野生名贵的滋补品为自己的健康保驾护航,以期获得强健的体魄.近年来在众多电视养生节目的熏染下,人参汤、草虫肉、当归茶、黄芪粥和天麻饭等“药食同源”的技法,倍受人们的追捧.","人参, 当归, 黄芪, 天麻","人参, 当归, 黄芪, 天麻"
击破七个让人头疼的中医传言,张三,,"中医药是中华民族的瑰宝,但在生活中存在诸多中医药传言,它们的流传不仅危害公众健康,也使中医药形象受到负面影响.五位全国名老中医药专家指出最让他们头疼的传言,希望以正视听._xD_
传言一:服中药不能吃绿豆_xD_
全国名老中医药专家、北京中医医院原院长李乾构表示,绿豆药食同源,有清热消暑、利水解毒的功效.大多数人认为,绿豆解药性,所以喝中药时不能吃绿豆.这种说法过于绝对了.其实,服中药时能否吃绿豆,取决于所患疾病的寒热虚实,以及所服中药的药性.从寒热虚实角度来看,如果患有中暑、泌尿系统感染、便秘等热证实证,或因乌头、附子、半夏中毒,喝中药时吃绿豆可辅助治疗.如果患有慢性胃肠炎、肢体关节冷痛、腹痛、腹泻、痛经等寒证虚证,服中药时吃绿豆会加重病情.","绿豆, 乌头, 附子, 半夏","绿豆, 乌头, 附子, 半夏"
名贵药材——人参的真伪鉴别,"丛鑫,崔国强","名贵中药材,人参,真伪鉴别","现在的人们对能有一个健康的身体相当重视,愿防病强身,为健康投资,预防意识很强烈,我们又是中医药大国,药食同源,是我们国人的健康理念,人们更看重源于打自然的中医中药,如用人参、枸杞、菊花、牛蒡等泡茶,日常保健意识非常强.","人参, 枸杞, 菊花, 牛蒡","人参, 枸杞, 菊花, 牛蒡"
大麦'云啤号'×'大粒麦'RILs群体籽粒生物碱含量的QTLs分析,"杨涛,杨加珍,罗红梅,杜娟,普晓英,杨晓梦,李霞,曾亚文","大麦,重组自交系,籽粒,生物碱,QTLs","大麦是药食同源作物,含生物碱等功能成分,为研究生物碱含量的分子遗传作用,本研究通过利用'云啤号'及'大粒麦'为亲本,构建的重组自交系群体为研究材料,通过年及年两年亲本及重组自交系群体后代的籽粒生物碱含量进行测定,分析生物碱在群体中的遗传变异规律,并在此基础上对大麦籽粒生物碱含量进行QTL定位.研究结果表明,年生物碱亲本含量分别为.mg/g,.mg/g,群体后代平均值为.mg/g,年生物碱亲本含量分别为.mg/g,.mg/g,群体后代平均值为.mg/g,有超亲分离现象,生物碱含量遗传变异较大,两年生物碱含量均呈单峰分布曲线,表现出数量性状遗传特征,两年共检测到个生物碱相关的QTL,大麦籽粒生物碱表型贡献率范围是.％～.％,其中一个主效QTL位点位于H染色体上,结果表明,大麦籽粒生物碱含量是受少数主效基因和微效基因共同影响的数量性状.",大麦,大麦
葛根化学成分及药理作用研究进展,"李昕,潘俊娴,陈士国,徐维昌,金妙仁,叶兴乾","葛根,化学成分,药理活性","葛根是一种药食同源的植物,在中国历史悠久.国内外学者对其进行多方面研究,发现葛根中含有多种有效成分,尤其是异黄酮等功效成分,在临床上主要用于心脑血管疾病、糖尿病等疾病的治疗.由于其药源丰富,疗效好,安全性高等,所以受到全球广泛关注.本文综述近年来葛根的化学成分、药理活性等方面的研究进展,为葛根资源的进一步综合利用以及开发高附加值葛根产品提供参考.",葛根,葛根
百合的化学成分及药理作用研究进展,"刘鹏,林志健,张冰","百合,化学成分,药理作用,甾体皂苷,多糖,抗肿瘤,抗抑郁,抗氧化","百合是一种药食同源的中药,在我国资源丰富,分布广泛,具有较高的开发利用价值.目前研究发现,百合含有甾体皂苷、多糖、酚酸甘油酯、生物碱、黄酮、氨基酸、磷脂及其他烷烃等成分,主要为多糖及甾体皂苷.药理研究表明,其具有抗肿瘤、抗抑郁、抗氧化、降血糖、抗疲劳与耐缺氧、免疫调节,抗炎,抑制Na+/K+ATP酶等作用.百合可抑制多种癌细胞增殖,并促进其凋亡,主要活性成分为多糖、甾体皂苷及生物碱.其中甾体皂苷还是百合抗抑郁的活性成分.笔者通过检索中国知网,万方,ScienceDirect,PubMed,WebofScience等数据库,对近年有关百合的化学成分及药理作用的文献,进行整理,分析和总结,系统地综述了百合化学成分及药理作用的研究进展,旨在为百合的深入研究和开发利用提供理论参考.",百合,百合
中药百合化学成分及药理作用研究进展,"罗林明,裴刚,覃丽,周小江,詹济华,廖念,陈乃宏","百合,鳞茎,化学成分,药理作用","百合是重要的药食同源植物,主要分布于北温带和亚热带地区.通过检索、查阅大量文献,发现药用百合植物的鳞茎中主要含有甾体皂苷、甾醇、酚酸甘油酯、黄酮、苯丙素、生物碱和多糖类等化学成分;百合具有广泛的药理作用,如止咳祛痰、镇静催眠、免疫调节、抗肿瘤、抗氧化、抗炎、抗应激损伤、抗抑郁、降血糖及抑菌等.通过对种药用百合植物的化学成分及药理作用进行文献总结,以期为百合的深入研究与开发提供参考.",百合,百合
沙棘的综合价值研究进展,"张程慧,祁玉霞,程康蓉,冯叙桥,陈叙生","沙棘,活性成分,利用价值,营养,保健,药用","沙棘属药食同源植物,含有丰富的维生素、多糖、氨基酸、有机酸及人体所需的多种微量元素等营养成分以及黄酮类、三萜烯类、甾体类化合物、-羟色胺、原花青素等生物活性物质,食用沙棘具有抗肿瘤、抗衰老、改善脑机能、活血散瘀、降血糖、改善脂质代谢等生理作用.因而沙棘具有很高的营养保健和药用价值,如能加以合理开发利用,会带来较大的经济效益和社会效益.本文着重从沙棘果、沙棘叶、沙棘籽等方面综述了沙棘营养保健作用及其利用的研究现状,分析了沙棘产业开发所面临的问题,提出了相应的解决策略,并展望了沙棘研究与利用的前景.","沙棘, 沙棘籽","沙棘, 沙棘籽"
基于森林康养理念的产业发展思考——以千岛湖为例,"张文富,方中平,徐高福","森林康养,理念,产业,千岛湖","健康养生是人类永恒的主题.森林康养集林业、医药、旅游、文化于一体,内涵十分丰富;它可以影响人的思维,乃至引导人的生活习性的改变;以此为切口,有望成为转型升级或提升区域经济的抓手;形成特色鲜明的经济体系及文化体系.发展炙手可热的森林康养产业,无疑是践行“两山”理论的优选.建设康美千岛湖,要在康养示范基地、环湖森林绿道康养纽带、入城下乡的康养延伸产业方面有所作为;开发森林景观欣赏、森林环境体验、休闲健身旅游、森林文化熏陶、药食同源保健、森林温泉疗养、自然农法与田园生活等系列产品,寻求森林康养理念与实践完美结合的科学路径.",温泉,温泉
蒲公英属植物的化学成分和药理作用研究进展,"王亚茹,李雅萌,杨娜,周柏松,陈芳,刘金平,李平亚","蒲公英属植物,化学成分,药理作用","作为一种药食同源的中草药,蒲公英越来越引起人们的关注.蒲公英属植物中化学成分种类繁多、复杂,具有多种生物活性,单独或与其它中药配合使用,发挥直接或间接的治疗作用.根据国内、外对蒲公英属植物的研究报道,现综述了蒲公英属各植物的化学成分与药理作用研究进展,为蒲公英属植物的进一步研究及深入开发提供参考.",蒲公英,蒲公英
鸡内金化学成分及药理作用研究进展,"王宝庆,郭宇莲,练有扬,戴笑盈","鸡内金,化学成分,药理作用","鸡内金作为一味药食同源两用之品,是由雉科动物家鸡(GallusgallusdomesticusBrisson)的沙囊内壁干燥制得,其含有多种化学成分,且具有多种药理作用.现就鸡内金的化学成分、药理作用等方面的研究进展进行综述,为鸡内金未来的研究、开发、利用提供参考.",鸡内金,鸡内金
枳实研究进展,"曲中原,冯晓敏,邹翔,王一横,姜雪,李雪,罗容","枳实,化学成分,药理作用,质量评价","枳实为药食同源中药,具有潜在的开发应用价值.近年,对于枳实的化学成分、药理作用及其质量评价等方面的研究日渐增多,本文对枳实的最新研究进展作以综述,为其进一步开发利用提供科学依据.",枳实,枳实
金刺梨果实和叶中酚类、Vc含量及其抗氧化能力分析,"谢国芳,徐小燕,王瑞,刘志刚,周笑犁,杨涵桃","金刺梨,果实,叶,酚类,抗氧化能力","为了解贵州金刺梨(RosasterilisD.Shi)果实和叶片中的活性成分及其抗氧化活性,以贵州普定县金刺梨种植基地的果实和叶片为试材,测定其活性成分含量及其抗氧化活性,并对各项指标进行相关性分析.结果显示:没食子酸、芦丁、槲皮素、儿茶素、鞣花酸、绿原酸、阿魏酸是供试金刺梨果实和叶片的主要酚类成分,金刺梨果实和叶片中活性组分差异显著(P＜.),果实中p-香豆酸、总黄酮和抗坏血酸的含量相对较高,而叶片中没食子酸、儿茶素、绿原酸、表儿茶素、阿魏酸、鞣花酸、芦丁、槲皮素和总酚含量均高于果实;金刺梨果实抗氧化活性值均显著高于叶片(P＜.);相关性分析发现:总黄酮对总还原力(TRPA)值的贡献极强,抗坏血酸对Fe+还原抗氧化能力(FRAP)值贡献最强,槲皮素对ABTS值的贡献最强,说明金刺梨果实和叶片是一种具有较高开发价值的药食同源资源.","刺梨, 槲皮","刺梨, 槲皮"
马齿苋的药理作用及营养保健作用,冯彦,"马齿苋,药理作用,营养保健作用","马齿苋属于典型的药食同源性植物,属于全草植株均具备充分应用价值的重要植物类型,充分认知马齿苋的药理作用和营养保健作用,对于有效发挥马齿苋的最佳应用价值具有充分的现实影响意义,本文针对马齿苋的药理作用及营养保健作用展开了简要分析.",马齿苋,马齿苋
桑叶化学成分及药用功效研究进展,"高欣妍,王海英,刘志明","桑叶,活性成分,药用功效","药食同源桑叶中含有黄酮类化合物、生物碱类化合物、多糖类化合物、甾醇类化合物、多酚类化合物、挥发油、氨基酸、维生素等,具有降血糖、降血腊、降血压、抗氧化、抗肿瘤、抗病毒和增强机体免疫力等功效.芸香苷(芦丁)是有效成分.生物活性成分l-脱氧野尻霉素、γ-氨基丁酸等的提取、分离和结构修饰有待进一步研究.",桑叶,桑叶
鱼腥草作为保健食品原料潜力的概述,"苏杰,李娜,惠伯棣,宫平,张同","鱼腥草,化学组成,健康功能,安全性问题","鱼腥草是我国传统药食同源植物,其含有多种化学成分且具备多种健康功能,可作为多种保健功能食品的原料.但应考虑鱼腥草在保健食品中的使用量,以便确保长期食用产品的安全性和有效性.由于影响鱼腥草化学成分的因素很多,因此需考虑种源、生长环境、加工工艺等问题,以便保障鱼腥草所含有效成分均一、产品质量稳定、重金属和亚硝酸盐含量可控.",鱼腥草,鱼腥草
滇橄榄产业发展的问题与措施,"黄佳聪,龚发萍","滇橄榄,产业发展,基地建设,产业结构,种质资源,栽培效益,产业链建设","滇橄榄是干热河谷地区生态修复、重建的良好先锋树种之一,其果实药食同源,具有良好的食用、保健及药用价值.在阐述野生资源丰富但可利用率低,产业基地建设起步晚、管理粗放,林农组织化程度低,产业结构单一等滇橄榄产业现状的基础上,分析产业发展的有利因素,藉此提出推进产业基地建设,加强科技支撑,完善产业链建设等产业发展的具体策略与措施.","滇, 橄榄","滇, 橄榄"
湘西地区阳荷林下仿生栽培技术,"何功秀,刘兴锋",,"阳荷(ZingiberstriolatumDiels.)为姜科姜属多年生宿根植物,别名阳藿、蘘荷、茗荷、姜笋、野姜等,以嫩茎、嫩芽、花蕾、花茎、花供食用,.阳荷~年成株,株高在~cm,开展度在~cm,适宜生长于疏林地、林缘、灌草坡湿润地带、水沟边等地方,在我国南方省份多有分布.阳荷是一种风味独特、营养价值高的药食同源的稀、特保健森林蔬菜.它富含多种氨基酸、维生素、糖类和矿物元素等营养成分,具祛风散寒、镇咳祛痰、活血调经、解毒消肿、消积健胃、温中理气等功效,对治疗感冒咳嗽、哮喘、月经失调、便秘、糖尿病等多种疾病有特效,.当前还多为野生采集,山区常见栽植于房前屋后,人工大面积栽培较少,且口味没有野生阳荷好.",蘘荷,蘘荷
沙棘开发利用的研究现状,陈春,"沙棘,开发利用,活性成分,创新","沙棘是一种药食同源植物,含有丰富的营养成分以及生物活性物质,具有很高的营养保健作用和药用价值.如能合理开发利用,会带来较大的经济效益和社会效益.笔者介绍了沙棘的开发利用现状,从天然防腐剂、蛋白酶解物、新型食品、沙棘酵素、栽培黑木耳、基高吸水性复合材料等几方面提出了沙棘开发利用的新思路.并针对沙棘开发利用中存在的问题提出了相应的建议,以期为今后沙棘事业的可持续发展提供借鉴.",沙棘,沙棘
桑椹的营养保健功能及功能性成分研究进展,孙艳,,"桑椹也称桑枣、桑实、葚子等,是荨麻目桑科植物桑的成熟果实.颜色多为深紫色、红棕色,是由多个小果聚合而成的果实,大部分呈长约cm,直径.cm的椭圆状.桑树我国从南到北均有分布,我国利用桑树用来养蚕有近千年的历史,食用桑椹的历史也由来已久.桑椹古称""民间圣果"",自古以来也是百姓常用的保健水果.桑椹既有使用价值,又有医用价值,《本草纲目》古代医书的记载中也能查到关于桑葚入药的记录.随着现代化学分析技术的广泛利用,桑椹中含有的多种人体所需的营养成分也被发现和测量,果实中含有种类齐全的氨基酸、多种维生素,蕴含大量游离酸(TMB),铁、锰、钙等微量元素含量极高.医学研究还显示,桑椹含有大量的花青素可以清除皮肤中紫外线照射产生的自由基,从而延缓皮肤衰老,所含的维生素E、胡萝卜素等物质都具有较强的抗氧化作用,并且还可以调节人体免疫功能.如今,作为药食同源的水果,桑椹的养生保健药用价值更为现代人所关注,而且我国桑树的种植面积大,开发桑椹资源、利用桑椹的营养价值进行商业挖掘有十分深远的意义.","桑椹, 荨麻, 铁","桑椹, 荨麻, 铁"
一起鼠伤寒沙门菌引起食物中毒的病原鉴定与同源性分析,"郝瑞娥,姚素霞,张秋香,王洋","食物中毒,鼠伤寒沙门菌,药敏实验,脉冲场凝胶电泳","目的对引起本次食物中毒主要病原菌鼠伤寒沙门菌进行生物学鉴定,血清学分型以及分子的溯源分析,研究分析其相关性,从而达到准确溯源的目的.方法对份患者肛拭子样本和份食品样本分离到的沙门菌进行菌株鉴定,采用美国临床实验室标准化研究所CLSI标准推荐微量肉汤稀释法,对分离株进行种抗生素敏感实验,利用限制性内切酶XbaⅠ酶切沙门菌基因组进行脉冲场凝胶电泳,通过BioNumerics.软件对电泳图谱进行同源性比较.结果份患者样本和份食品留样中共检出鼠伤寒沙门菌株,均对氨苄西林、四环素、红霉素耐药.运用PFGE对所分离到的鼠伤寒沙门菌进行基因分型,其PFGE图谱相似性系数为％.结论本次食源性疾病暴发疫情是由进食被鼠伤寒沙门菌污染的食品所致,通过PFGE对致病菌进行溯源,分析其溯源关系,能追踪到菌株来源,PFGE可有效应用于食物中毒溯源分析及分子流行病学研究.",鼠,鼠
黑果枸杞在辽西地区的栽培技术,赵明优,"黑果枸杞,栽植方法,整形修剪","黑果枸杞是药食同源植物,具有较强的适应性.通过几年的引种栽培实践,在辽西地区选择合适圃地,用适当的栽植方法,及时进行整形修剪和病虫害防治,结合适当的田间管理技术,可达到当年栽植当年结果.","黑果, 枸杞","黑果, 枸杞"
决明子枸杞金银花复合饮料的研制,"孙军涛,肖付刚,王思琦","复合饮料,决明子,枸杞,金银花,稳定性","以决明子、枸杞、金银花种药食同源材料为原料,通过单因素和正交试验研制一种具有降血脂功效的复合饮料.结果表明:该复合饮料的最佳配方为决明子提取液%、金银花提取液%、枸杞提取液%、甜味料(白砂糖和蜂蜜的比例为:)%;添加.%海藻酸钠,℃储藏时复合饮料稳定性最好.该功能性复合饮料呈棕黄色,澄清透明,酸甜适中,香气柔和协调.","决明子, 枸杞, 金银花, 白砂糖, 蜂蜜, 海藻","决明子, 枸杞, 金银花, 白砂糖, 蜂蜜, 海藻"
红花分子标记研究进展,"胡尊红,王沛琦,杨谨,郭丽芬,刘旭云,胡学礼","红花,DNA分子标记,综述","红花是药食同源的经济作物,不但花瓣色素提取物可用于医药原料、化妆品和食品染料等方面,而且红花油是优质保健食用油,具有重要的医药价值和食用价值.DNA分子标记在红花育种中已得到广泛应用,并取得了丰硕成果.本综述简要概括DNA分子标记技术的主要特点,从红花种质资源评价、遗传多样性分析、目标基因定位及苞叶刺性状基因研究等方面总结DNA分子标记在红花育种研究中的进展,并对将来红花的研究方向、重点及领域进行简要分析和探讨.红花未来分子生学研究要结合现代高通量测序技术,采用精细SNP等分子标记或转录组测序手段,寻找与经济、药用性状紧密连锁的分子标记构建红花遗传连锁图谱和定位、分离目标性状基因,为红花分子标记辅助选择育种(MAS)提供研究基础,提高红花育种的效率.",红花,红花
我国茭白的营养与开发利用研究综述,"周超,李臣",,"茭白是一种常见的水生蔬菜,据中医药典记载它是一种药食同源的植物.对近年来茭白的营养成分、功能活性和开发利用的相关研究进行了综述,并展望了茭白未来的研究方向,以促进人们对茭白的认识,并为深入研究茭白提供参考依据.",茭白,茭白
山楂功能性成分分析及检测方法,"卢伟,耿楠,陆宁","山楂,黄酮类化合物,三萜类化合物,原花青素,有机酸,检测方法","以山楂功能性成分为研究对象,主要介绍了对人体的营养有帮助的山楂功能性成分,如黄酮类化合物、三萜类化合物、原花青素、有机酸等,并阐述了各成分的检测方法;拟对山楂功能性成分研究提供借鉴,并对不同人群食用药食同源的山楂及其制品能提供一定的食用指导.",山楂,山楂
蒲公英内生真菌的分离、鉴定及抑菌活性研究,"高原,王福玲,贾琦,刘微,周艳岩,李佳丽","蒲公英,内生真菌,鉴定,内转录间隔区,抑菌","蒲公英为药食同源的一种传统植物,具有较好的抗菌消炎的功能,蒲公英提取物中含有多种具有抗菌活性的化合物,而植物内生真菌可产生与宿主植物相同或相似的代谢产物,可为抗菌化合物的开发利用开辟新途径.从蒲公英中分离获得蒲公英内生真菌,并选取金黄色葡萄球菌(Staphylococcusaureus)、大肠杆菌(Escherichiacoli、枯草芽孢杆菌(Bacillussubtilis)、肠炎沙门氏菌(Salmonellaenteritidis)、铜绿假担孢菌(Pseudomonasaeruginosa)、白色念珠球菌(Candidasporogenes)等病原菌进行抑菌试验,对蒲公英内生真菌发酵产物进行了抑菌活性筛选,其中菌株PGY具有较好的抑菌活性,对金黄色葡萄球菌的最小抑菌浓度(MIC)值为.mg/mL,最小杀菌浓度(MBC)值为.mg/mL.对大肠杆菌、枯草芽孢杆菌、肠炎沙门氏菌、铜绿假单孢菌和白色念珠菌也具有明显的抑菌效果,最小抑菌浓度(MIC)值分别为.mg/mL,最小杀菌浓度(MBC)值为.mg/mL.通过对菌株PGY的ITSr-DNA序列进行比对分析,菌株PGY为烟曲霉菌(Aspergillusfumigatus),与AspergillusfumigatusJQ具有％的相似性.通过LC-MS/MS检测在内生真菌PGY乙酸乙酯层中发现了一种活性成分木犀草苷,其常存在于蒲公英叶中.","蒲公英, 铜绿","蒲公英, 铜绿"
黑糯米保健酒工艺研究,"齐琦,母应春,禹晓婷,苏伟","黑糯米保健酒,黄酮,发酵工艺","以黑糯米以及枸杞、山药、覆盆子等种药食同源物质为原料进行发酵制作黑糯米保健酒,通过单因素和正交试验对黑糯米保健酒的酿造工艺进行优化,从而确定黑糯米保健酒的最佳发酵工艺参数.试验结果表明,最佳工艺条件为混合药材添加量.％,酒曲添加量.％,发酵时间d,发酵温度℃.在此条件下可得到感官评分为分,总黄酮含量为.μg/mL的黑糯米保健酒.","枸杞, 山药, 覆盆子","枸杞, 山药, 覆盆子"
低FODMAPs饮食改善肠易激综合征症状对中医药治疗的启示,"徐心田,陆为民","肠易激综合征,低FODMAPs,中医药治疗","食物在肠易激综合征(irritablebowelsyndrome,IBS)患者发病和治疗中发挥重要作用.食物可以影响IBS发病机制相关的多种生理因素,包括胃动力、内脏感觉、脑-肠相互作用、微生物、渗透性、免疫活性以及神经-内分泌功能等,近年来,IBS的饮食疗法广受关注,有研究表明低可发酵的低聚糖、二糖、单糖、多元醇(fermentableoligosaccharides,disaccharides,monosaccharidesandpolyols,FODMAPs)饮食可有效改善IBS症状.中医有药食同源之理论,低FODMAPs饮食的研究为我们提供了新思路,提示中医食疗对改善IBS症状有一定优势,“药食一体化”可在很大程度上改善和调节患者体质,从而为恢复IBS患病个体的生理状态提供条件.",低聚糖,低聚糖
玫瑰花色苷分子稳定性及其生物活性研究进展,"柴莹莹,何霞,宫颖慧,鞠昀珊,杨海艳,孙达锋,张卫明,蒋建新,王堃","玫瑰,花色苷,分子稳定性,生物活性","花色苷是天然的水溶性食用色素,具有抗氧化、调节血脂、抗衰老等方面的功能,有着巨大应用潜力.玫瑰为蔷薇科植物,是原产于中国的重要香料植物,也可以作为很好的药食同源食物.本文在总结花色苷化学结构及其分子稳定性的基础上,综述了近年来在玫瑰花色苷生理活性方面的研究进展,为进一步开展玫瑰花色苷研究和开发玫瑰花资源提供参考依据.",玫瑰花,玫瑰花
